id,sequence,parameter,code,name
value_req_so_delivery_lead_time_next_day,30,req_so_delivery_lead_time,next_day,Order entry day + 1
value_req_so_delivery_lead_time_week_day,31,req_so_delivery_lead_time,week_day,Defined delivery sequence (fixed week day)
value_req_so_delivery_lead_time_fixed_date,32,req_so_delivery_lead_time,fixed_date,Defined day of delivery (non repetitive)
value_req_so_delivery_lead_time_same_day,33,req_so_delivery_lead_time,same_day,Same day (Flash delivery)
value_req_so_transport_chosen_by_company,38,req_so_transport,chosen_by_company,Chosen by Company
value_req_so_transport_post,39,req_so_transport,post,Post
value_req_so_transport_pickup,41,req_so_transport,pickup,Pick Up
value_req_cust_delivery_window_before9,23,req_cust_delivery_window,before9,Before 9:00
value_req_cust_delivery_window_day,24,req_cust_delivery_window,day,Between 8:00 and 17:00
value_req_cust_delivery_window_morning,25,req_cust_delivery_window,morning,Morning (8:00 to 12:00)
value_req_cust_delivery_window_afternoon,26,req_cust_delivery_window,afternoon,Afternonon (13:00 to 17:00)
value_req_cust_delivery_window_custom,27,req_cust_delivery_window,custom,Specific 1h slot
value_req_cust_preadvice_email_seller,28,req_cust_preadvice,email_seller,"Electronically, by Company"
value_req_cust_preadvice_phone_transporter,29,req_cust_preadvice,phone_transporter,"By phone, by Transporter"
